<OPEN>17/09;<HIGH>17/09;<LOW>17/09;<CLOSE>17/09;<OPEN> 17/11;<HIGH> 17/11;<LOW> 17/11;<CLOSE> 17/11;<OPEN> 15/12;<HIGH>15/12;<LOW> 15/12;<CLOSE> 15/12;<OPEN> 17/12;<HIGH> 17/12;<LOW> 17/12;<CLOSE> 17/12
108090;108140;108090;108140;115890;115890;115800;115850;113000;113050;113000;113020;111960;111970;111860;111860
108120;108150;108120;108130;115830;115880;115830;115840;113020;113030;113000;113020;111870;111960;111870;111940
108160;108330;108150;108330;115830;115890;115820;115870;113040;113070;113020;113050;111940;111980;111930;111970
108330;108330;108270;108270;115870;115920;115840;115910;113050;113080;113030;113060;111980;111990;111970;111970
108260;108280;108250;108260;115900;115920;115830;115830;113050;113090;113050;113060;111970;111990;111960;111960
108250;108270;108230;108270;115840;115900;115830;115880;113050;113120;113050;113090;111980;112050;111970;112010
108270;108270;108240;108240;115880;115890;115830;115840;113080;113090;113030;113060;112010;112050;112010;112030
108280;108310;108270;108270;115840;115850;115820;115820;113050;113050;112970;112970;112030;112060;112010;112020
108260;108270;108260;108260;115810;115820;115660;115660;112970;112980;112880;112910;112020;112030;112010;112010
108270;108300;108270;108300;115660;115680;115620;115660;112910;112990;112910;112950;112020;112030;111990;111990
108290;108300;108270;108290;115650;115660;115550;115570;112940;112990;112920;112950;112000;112030;111980;112020
108310;108330;108240;108240;115590;115650;115570;115590;112940;113040;112930;113000;112030;112040;111980;111990
108240;108240;108190;108190;115600;115700;115590;115670;113010;113150;112990;113120;112000;112060;111990;112040
108170;108180;108170;108170;115660;115670;115590;115620;113120;113150;113090;113090;112040;112060;112020;112040
108140;108170;108140;108170;115610;115620;115560;115570;113100;113120;113080;113110;112040;112060;112020;112030
108160;108160;108160;108160;115570;115590;115530;115570;113100;113100;113030;113060;112030;112150;112030;112140
108150;108180;108150;108160;115570;115620;115560;115580;113050;113140;113050;113120;112140;112140;112050;112070
108160;108180;108160;108180;115570;115600;115540;115570;113120;113140;113050;113060;112080;112120;112070;112090
108150;108160;108130;108160;115580;115600;115550;115590;113070;113100;113020;113030;112100;112160;112080;112140
108160;108160;108160;108160;115590;115590;115560;115570;113030;113070;113010;113060;112140;112170;112090;112100
108140;108160;108130;108160;115570;115580;115510;115560;113050;113140;113050;113090;112110;112130;112100;112120
108160;108200;108160;108200;115560;115580;115540;115580;113080;113100;113050;113070;112110;112150;112110;112140
108230;108240;108200;108200;115580;115640;115560;115600;113090;113100;113030;113070;112140;112140;112100;112100
108230;108240;108140;108140;115620;115670;115610;115670;113080;113100;113040;113050;112100;112110;112030;112030
108180;108180;108140;108140;115670;115710;115660;115710;113050;113070;113000;113050;112040;112110;112030;112090
108130;108130;108130;108130;115700;115710;115650;115670;113050;113120;113050;113080;112100;112100;112070;112090
108120;108140;108110;108140;115670;115700;115620;115640;113080;113150;113060;113090;112090;112090;112020;112020
108150;108200;108150;108200;115630;115640;115600;115620;113080;113090;113020;113020;112020;112080;112020;112070
108220;108220;108160;108190;115620;115680;115610;115660;113020;113050;112960;112990;112070;112120;112060;112090
108200;108260;108200;108220;115670;115690;115650;115650;112990;113040;112990;113020;112080;112130;112080;112100
108190;108190;108170;108170;115650;115650;115550;115560;113020;113040;112990;112990;112090;112120;112060;112070
108130;108150;108080;108110;115580;115580;115550;115570;112990;113080;112980;113070;112080;112100;112040;112080
108110;108130;108100;108120;115570;115580;115550;115580;113080;113110;113000;113010;112060;112120;112060;112060
108110;108160;108100;108120;115570;115570;115470;115500;113000;113040;112990;113030;112060;112100;112050;112070
108110;108160;108110;108160;115490;115500;115440;115470;113020;113030;112970;113000;112090;112100;112050;112060
108160;108160;108130;108140;115450;115490;115440;115460;113000;113060;112990;113020;112060;112080;112030;112040
108130;108130;108130;108130;115460;115520;115440;115520;113010;113010;112960;112960;112040;112060;111930;111940
108140;108140;108140;108140;115520;115540;115490;115530;112970;112970;112880;112900;111950;111990;111940;111970
108140;108160;108100;108100;115530;115530;115470;115470;112900;113010;112900;112990;111970;111990;111940;111950
108100;108100;108100;108100;115460;115460;115370;115430;113000;113080;112990;113060;111950;111980;111940;111960
108100;108120;108090;108120;115430;115470;115430;115450;113060;113070;113020;113020;111950;111990;111950;111970
108130;108130;108130;108130;115450;115460;115410;115440;113030;113060;113000;113000;111960;111970;111930;111950
108160;108160;108140;108140;115450;115480;115440;115470;113010;113030;112990;113000;111950;112020;111940;112020
108130;108140;108100;108100;115480;115510;115460;115470;113010;113060;112970;113050;112010;112040;112000;112010
108140;108150;108120;108120;115460;115570;115450;115570;113050;113070;113020;113020;112010;112020;111990;112010
108160;108160;108110;108120;115570;115590;115540;115580;113020;113020;112960;112970;112010;112070;112010;112060
108100;108120;108100;108120;115570;115650;115570;115640;112980;113030;112970;113020;112060;112060;112030;112040
108110;108160;108110;108160;115650;115660;115630;115660;113020;113020;112970;112990;112030;112050;112020;112040
108160;108190;108160;108180;115650;115690;115600;115610;113000;113090;112990;112990;112040;112060;112030;112030
108180;108200;108150;108200;115630;115630;115600;115610;112990;113020;112970;113020;112040;112050;112020;112040
108190;108210;108190;108210;115610;115610;115550;115590;113010;113040;112990;113020;112040;112070;112030;112060
108210;108210;108170;108200;115580;115590;115560;115590;113020;113050;112980;113010;112060;112070;112040;112050
108180;108180;108150;108150;115580;115640;115580;115630;113010;113070;113010;113060;112060;112070;112020;112020
108170;108200;108170;108200;115620;115630;115570;115580;113040;113070;113040;113060;112030;112040;112010;112030
108200;108210;108180;108180;115580;115600;115560;115590;113060;113100;113040;113060;112040;112040;112000;112020
108190;108200;108170;108190;115590;115590;115540;115580;113050;113060;112890;112920;112030;112050;112020;112040
108200;108270;108200;108220;115600;115600;115560;115600;112920;112960;112910;112950;112040;112050;112020;112040
108200;108200;108170;108180;115600;115620;115580;115620;112950;112970;112920;112930;112030;112050;112030;112050
108180;108180;108160;108160;115600;115680;115590;115650;112940;112960;112920;112950;112050;112080;112050;112080
108190;108190;108190;108190;115670;115710;115640;115710;112940;113020;112940;112990;112080;112120;112060;112080
108200;108220;108170;108190;115710;115720;115660;115680;112980;113000;112960;112980;112090;112100;112060;112060
108200;108200;108200;108200;115680;115700;115670;115680;112970;112970;112930;112950;112060;112090;112040;112040
108190;108190;108150;108150;115690;115690;115610;115620;112960;113000;112940;112960;112050;112090;112030;112040
108150;108150;108130;108130;115630;115650;115610;115630;112960;112990;112950;112970;112050;112070;112050;112060
108130;108130;108110;108120;115630;115680;115630;115640;112970;113000;112960;112960;112060;112070;112040;112040
108120;108120;108120;108120;115650;115690;115650;115660;112950;112980;112930;112980;112060;112070;112030;112060
108170;108180;108170;108180;115650;115690;115640;115660;112970;113050;112970;113020;112070;112090;112050;112090
108170;108170;108150;108150;115660;115710;115660;115680;113030;113100;113010;113090;112090;112110;112080;112110
108160;108230;108160;108220;115680;115710;115650;115700;113090;113100;113030;113050;112110;112120;112100;112100
108240;108290;108240;108290;115690;115690;115670;115690;113050;113050;113000;113000;112090;112200;112090;112190
108280;108290;108270;108270;115690;115710;115650;115690;113020;113020;112990;113000;112190;112220;112170;112180
108290;108290;108270;108270;115680;115710;115670;115700;113010;113060;113010;113050;112190;112200;112150;112150
108270;108270;108270;108270;115700;115740;115690;115720;113050;113080;113020;113050;112160;112230;112150;112200
108270;108280;108240;108240;115720;115800;115720;115760;113050;113050;112970;113000;112200;112230;112190;112210
108270;108270;108220;108250;115760;115820;115730;115800;113010;113030;112990;113020;112220;112230;112140;112140
108220;108240;108210;108240;115800;115820;115780;115790;113030;113080;113020;113060;112140;112190;112140;112140
108240;108240;108240;108240;115810;115810;115780;115780;113060;113080;113040;113050;112140;112160;112120;112140
108250;108270;108250;108250;115770;115790;115730;115770;113040;113040;112990;113000;112150;112180;112120;112150
108250;108250;108220;108220;115770;115810;115710;115750;113000;113040;112990;112990;112160;112180;112130;112130
108210;108240;108210;108240;115760;115790;115740;115770;113000;113110;112990;113090;112140;112140;112120;112130
108250;108250;108240;108250;115780;115800;115750;115750;113090;113130;113080;113110;112130;112140;112120;112130
108260;108280;108250;108270;115760;115800;115730;115780;113110;113140;113050;113080;112120;112150;112120;112130
108270;108310;108270;108300;115780;115800;115750;115770;113090;113150;113070;113120;112120;112140;112110;112130
108250;108320;108250;108320;115760;115770;115710;115720;113120;113200;113100;113180;112130;112130;112070;112110
108300;108380;108300;108340;115710;115730;115660;115670;113180;113340;113150;113270;112100;112100;112060;112080
108320;108340;108320;108340;115670;115700;115660;115690;113280;113310;113190;113220;112080;112100;112070;112090
108340;108380;108340;108370;115690;115740;115670;115710;113210;113250;113170;113190;112090;112090;112060;112070
108370;108440;108370;108440;115720;115800;115680;115800;113180;113200;113100;113120;112080;112080;112050;112050
108430;108450;108390;108390;115800;115890;115750;115880;113110;113130;112810;112950;112050;112080;112050;112060
108390;108420;108390;108400;115890;115900;115820;115840;112960;113020;112930;112960;112060;112080;112060;112060
108410;108410;108350;108390;115840;115870;115820;115850;112950;112990;112900;112970;112050;112070;112040;112050
108370;108380;108370;108370;115860;115860;115720;115720;112970;112990;112950;112970;112060;112070;112040;112060
108360;108360;108340;108360;115710;115730;115670;115700;112970;112970;112920;112930;112060;112090;112060;112090
108360;108360;108350;108350;115690;115710;115630;115710;112930;112940;112850;112860;112090;112090;112060;112070
108340;108340;108280;108280;115700;115790;115680;115780;112870;112920;112840;112860;112060;112080;112050;112050
108260;108270;108230;108250;115780;115870;115760;115860;112870;112880;112850;112870;112060;112080;112060;112070
108260;108290;108250;108270;115860;115970;115820;115940;112860;112900;112840;112850;112070;112090;112060;112060
108290;108300;108280;108280;115940;115970;115880;115940;112850;112950;112830;112920;112060;112060;112040;112050
108280;108330;108280;108330;115940;116020;115900;115900;112920;112930;112870;112900;112050;112060;112000;112010
108360;108370;108300;108300;115900;116010;115870;115990;112900;112910;112870;112880;112020;112020;111970;111970
108310;108330;108310;108320;115980;115990;115900;115930;112890;112930;112860;112880;111990;111990;111950;111970
108320;108320;108290;108290;115920;115950;115910;115950;112870;112920;112850;112910;111970;111970;111840;111860
108280;108300;108270;108300;115950;116030;115910;116030;112920;113070;112900;113070;111870;111870;111810;111830
108290;108300;108270;108280;116020;116080;115970;116060;113070;113160;113050;113100;111830;111860;111810;111850
108320;108430;108320;108430;116050;116110;116020;116090;113110;113110;113020;113070;111860;111880;111840;111870
108420;108420;108360;108360;116090;116160;116020;116040;113080;113110;113030;113050;111870;111870;111830;111850
108360;108400;108360;108360;116040;116070;115980;116050;113040;113080;113040;113070;111840;111860;111840;111840
108360;108370;108330;108330;116060;116100;116050;116080;113060;113060;113010;113050;111840;111870;111830;111850
108380;108400;108380;108390;116090;116090;116000;116040;113040;113070;113020;113050;111850;111850;111820;111820
108360;108380;108360;108360;116020;116030;115910;115930;113050;113070;113030;113060;111820;111830;111710;111730
108390;108400;108380;108400;115930;116010;115880;115980;113060;113080;113020;113020;111740;111740;111660;111720
108390;108400;108370;108400;115990;116000;115940;115960;113020;113020;112730;112760;111730;111730;111690;111730
108410;108440;108390;108390;115970;116040;115960;115990;112750;112770;112390;112440;111710;111750;111710;111750
108390;108400;108360;108360;115970;116050;115910;115940;112430;112540;112420;112480;111740;111750;111700;111710
108380;108390;108350;108380;115950;115970;115890;115890;112480;112560;112470;112510;111720;111720;111650;111690
108380;108410;108350;108410;115890;115890;115690;115740;112510;112590;112440;112560;111680;111690;111660;111690
108410;108410;108350;108380;115740;115780;115710;115780;112570;112700;112560;112670;111680;111710;111670;111690
108350;108350;108320;108320;115770;115800;115670;115750;112680;112700;112600;112610;111690;111710;111670;111710
108340;108360;108310;108320;115720;115790;115690;115790;112600;112660;112590;112640;111710;111730;111700;111720
108300;108320;108280;108320;115790;115860;115760;115850;112660;112710;112610;112700;111710;111730;111660;111670
108330;108340;108330;108340;115850;115860;115810;115820;112690;112710;112630;112710;111660;111710;111630;111710
108360;108360;108290;108290;115820;115860;115760;115840;112710;112740;112640;112690;111700;111720;111680;111700
108320;108330;108270;108270;115850;115990;115840;115990;112690;112720;112670;112680;111690;111800;111660;111790
108270;108330;108270;108320;115980;116000;115930;115940;112680;112750;112660;112740;111800;111800;111740;111760
108330;108330;108320;108320;115940;115980;115930;115970;112750;112760;112690;112710;111760;111770;111720;111720
108310;108330;108300;108300;115970;116020;115890;115900;112700;112700;112580;112580;111730;111790;111710;111760
108310;108360;108310;108350;115900;115940;115850;115860;112590;112650;112560;112640;111760;111770;111740;111750
108330;108330;108300;108300;115850;115870;115750;115790;112640;112640;112530;112560;111740;111790;111740;111770
108280;108300;108270;108300;115780;115800;115710;115790;112550;112590;112540;112560;111770;111790;111750;111790
108330;108350;108330;108350;115790;115920;115790;115890;112560;112590;112540;112570;111780;111800;111760;111770
108360;108360;108360;108360;115900;115910;115860;115880;112570;112650;112570;112640;111760;111760;111740;111760
108360;108380;108360;108360;115890;115960;115880;115930;112620;112650;112600;112600;111760;111770;111730;111750
108360;108360;108360;108360;115930;115930;115840;115910;112630;112740;112620;112680;111740;111760;111700;111730
108370;108570;108360;108530;115920;115950;115910;115910;112690;112710;112670;112700;111730;111750;111670;111750
108550;108570;108520;108520;115900;115940;115870;115940;112690;112700;112670;112690;111730;111740;111670;111700
108520;108540;108510;108540;115930;116070;115930;116000;112690;112730;112650;112720;111710;111730;111690;111710
108510;108510;108440;108440;115980;116010;115910;115940;112720;112730;112620;112680;111710;111780;111690;111760
108450;108450;108400;108410;115960;115970;115860;115860;112690;112730;112600;112610;111760;111770;111660;111710
108400;108450;108400;108400;115860;115870;115780;115810;112620;112710;112610;112670;111720;111770;111700;111740
108400;108400;108370;108400;115810;115890;115810;115850;112670;112730;112650;112670;111740;111770;111740;111760
108370;108380;108340;108370;115850;115860;115760;115770;112670;112690;112640;112670;111760;111760;111750;111750
108360;108360;108250;108250;115790;115870;115750;115840;112670;112670;112600;112640;111760;111760;111710;111720
108260;108270;108250;108250;115850;115850;115790;115840;112630;112710;112630;112650;111730;111730;111690;111690
108300;108370;108300;108370;115840;115880;115800;115800;112650;112670;112640;112650;111690;111720;111690;111720
108340;108350;108310;108310;115800;115820;115690;115750;112640;112640;112550;112590;111710;111730;111690;111730
108330;108350;108310;108340;115740;115800;115710;115730;112590;112620;112520;112530;111730;111770;111720;111740
108360;108390;108350;108390;115730;115800;115720;115770;112530;112570;112520;112530;111740;111770;111730;111740
108380;108380;108360;108380;115760;115880;115750;115880;112530;112550;112480;112490;111740;111760;111710;111720
108370;108430;108360;108360;115880;116000;115880;116000;112480;112530;112470;112500;111720;111770;111710;111760
108400;108410;108310;108340;115990;116000;115930;115960;112500;112500;112380;112480;111770;111770;111720;111720
108370;108400;108370;108370;115960;115960;115820;115830;112480;112480;112390;112450;111740;111790;111730;111780
108380;108390;108360;108390;115840;115870;115780;115830;112450;112540;112430;112490;111790;111790;111750;111760
108380;108400;108380;108380;115830;115830;115710;115740;112490;112510;112420;112470;111760;111790;111750;111790
108390;108500;108380;108440;115740;115750;115650;115730;112460;112480;112400;112430;111790;111800;111760;111780
108450;108460;108330;108330;115720;115780;115710;115760;112420;112470;112400;112470;111770;111770;111740;111750
108330;108330;108310;108330;115760;115800;115740;115790;112460;112480;112430;112450;111760;111800;111760;111800
108340;108340;108320;108320;115790;115800;115720;115730;112460;112540;112460;112480;111790;111800;111740;111760
108370;108370;108370;108370;115730;115820;115690;115800;112480;112480;112410;112420;111750;111790;111750;111760
108360;108430;108340;108430;115790;115870;115740;115850;112430;112500;112420;112480;111760;111780;111660;111660
108450;108460;108450;108460;115850;115860;115790;115830;112490;112490;112450;112460;111670;111710;111540;111590
108480;108520;108470;108470;115810;115860;115770;115820;112460;112510;112450;112480;111580;111650;111550;111630
108470;108510;108460;108490;115800;115810;115760;115760;112490;112560;112490;112540;111620;111620;111570;111570
108470;108480;108420;108440;115770;115830;115740;115780;112540;112540;112490;112500;111570;111580;111480;111520
108460;108460;108440;108440;115770;115800;115730;115760;112500;112600;112500;112580;111520;111530;111490;111500
108440;108450;108420;108430;115740;115780;115730;115770;112570;112580;112520;112530;111490;111490;111420;111430
108410;108410;108390;108390;115770;115840;115770;115840;112530;112560;112500;112550;111430;111490;111410;111460
108390;108390;108360;108360;115830;115900;115820;115860;112540;112560;112510;112550;111460;111480;111350;111380
108380;108430;108380;108430;115850;115970;115810;115950;112550;112590;112510;112580;111380;111440;111360;111390
108460;108470;108400;108420;115960;115960;115600;115750;112580;112660;112500;112500;111390;111420;111300;111340
108460;108500;108460;108460;115740;115760;115650;115660;112500;112540;112400;112460;111330;111330;111150;111200
108490;108490;108460;108460;115660;115750;115640;115700;112450;112460;112350;112440;111190;111230;110960;111040
108480;108540;108480;108490;115690;115690;115520;115560;112450;112570;112360;112440;111030;111190;110990;111190
108510;108520;108500;108510;115560;115710;115540;115630;112440;112590;112440;112560;111190;111190;111090;111130
108540;108550;108490;108490;115650;115740;115640;115660;112550;112640;112530;112640;111140;111150;111070;111140
108480;108490;108470;108490;115650;115670;115610;115620;112640;112670;112570;112650;111150;111220;111130;111160
108520;108540;108490;108500;115610;115700;115500;115560;112660;112690;112610;112670;111170;111170;111000;111070
108500;108520;108490;108520;115560;115580;115280;115400;112670;112680;112580;112600;111060;111060;110980;111020
108520;108520;108480;108480;115380;115400;115350;115390;112610;112630;112560;112620;111000;111000;110870;110950
108490;108490;108430;108470;115380;115390;115300;115350;112620;112620;112510;112540;110950;111030;110870;110990
108480;108520;108480;108500;115350;115390;115230;115290;112530;112650;112510;112630;110990;110990;110880;110900
108510;108540;108510;108540;115280;115320;115230;115280;112630;112650;112540;112550;110890;110910;110830;110840
108550;108580;108530;108570;115270;115350;115270;115320;112550;112700;112530;112690;110840;110850;110760;110770
108570;108570;108500;108500;115320;115370;115270;115330;112690;112780;112630;112750;110760;110950;110750;110950
108530;108530;108470;108470;115330;115390;115280;115360;112740;112860;112740;112790;110950;110950;110900;110930
108480;108500;108480;108480;115350;115380;115300;115370;112790;112800;112680;112700;110940;110960;110910;110950
108480;108480;108400;108400;115370;115370;115310;115360;112710;112760;112700;112740;110940;110950;110830;110830
108390;108400;108340;108360;115360;115380;115330;115340;112740;112830;112690;112810;110830;110880;110760;110840
108370;108400;108360;108360;115350;115500;115330;115500;112800;112840;112730;112800;110830;110890;110780;110890
108370;108370;108330;108340;115490;115500;115360;115420;112800;112850;112730;112740;110890;110910;110820;110870
108330;108380;108320;108360;115420;115530;115380;115500;112740;112760;112650;112710;110890;110950;110870;110930
108340;108340;108280;108340;115490;115560;115420;115480;112710;112730;112670;112680;110930;110940;110840;110880
108320;108340;108300;108300;115490;115520;115450;115510;112680;112770;112680;112770;110860;110890;110840;110860
108310;108310;108200;108240;115520;115590;115520;115560;112770;112820;112730;112800;110860;110930;110830;110920
108200;108260;108190;108250;115560;115700;115530;115700;112790;112810;112720;112730;110920;110920;110850;110870
108250;108250;108200;108200;115690;115700;115540;115570;112730;112780;112730;112730;110880;110930;110840;110930
108190;108190;108150;108170;115560;115560;115500;115560;112740;112810;112740;112780;110930;110960;110910;110930
108160;108160;108140;108160;115570;115700;115550;115700;112770;112810;112750;112770;110920;110940;110900;110900
108170;108200;108170;108200;115690;115700;115610;115650;112770;112790;112640;112660;110910;110920;110840;110870
108200;108270;108200;108250;115640;115660;115560;115610;112650;112740;112630;112720;110880;110940;110880;110900
108280;108330;108280;108320;115600;115740;115590;115690;112720;112790;112710;112770;110910;110920;110870;110900
108310;108320;108300;108320;115680;115690;115600;115620;112780;112840;112730;112740;110890;110900;110840;110860
108320;108380;108310;108350;115620;115660;115570;115580;112730;112760;112680;112740;110860;110890;110810;110810
108350;108380;108330;108350;115580;115700;115570;115650;112740;112750;112680;112690;110820;110820;110670;110690
108350;108370;108330;108350;115630;115640;115580;115630;112690;112750;112660;112730;110690;110740;110650;110740
108330;108420;108330;108400;115640;115740;115640;115700;112730;112750;112660;112690;110740;110740;110680;110720
108400;108400;108370;108400;115700;115870;115700;115850;112700;112790;112700;112720;110720;110780;110710;110730
108420;108450;108410;108420;115850;115910;115850;115870;112710;112730;112650;112690;110750;110760;110660;110720
108430;108460;108430;108440;115870;115900;115820;115890;112690;112730;112680;112700;110710;110710;110610;110650
108470;108500;108450;108490;115890;115950;115850;115910;112700;112760;112660;112680;110640;110710;110640;110650
108500;108520;108480;108480;115920;115930;115870;115880;112670;112730;112670;112730;110650;110780;110640;110780
108490;108510;108480;108500;115880;115970;115880;115960;112740;112780;112700;112760;110770;110800;110730;110800
108500;108550;108500;108550;115970;116000;115910;115910;112760;112850;112760;112850;110800;110820;110760;110790
108540;108560;108510;108530;115910;115970;115910;115970;112850;112950;112820;112860;110790;110890;110780;110860
108530;108530;108500;108500;115980;116000;115860;115870;112860;112900;112850;112850;110860;110980;110850;110920
108500;108520;108490;108490;115870;115960;115850;115950;112860;112890;112850;112850;110940;110940;110910;110930
108530;108540;108530;108540;115950;116140;115950;116140;112870;112920;112860;112920;110930;110930;110860;110900
108530;108540;108510;108520;116130;116150;116100;116100;112920;112980;112860;112960;110880;110900;110790;110820
108540;108540;108490;108520;116110;116140;116080;116090;112980;112990;112910;112980;110830;110830;110700;110720
108520;108530;108520;108530;116080;116230;116080;116170;112980;113060;112930;113040;110710;110770;110700;110750
108540;108550;108540;108540;116170;116180;116110;116150;113050;113120;112970;113000;110750;110780;110730;110750
108530;108530;108510;108530;116160;116180;116110;116110;113000;113060;112980;113020;110760;110860;110750;110830
108530;108570;108520;108570;116110;116140;116050;116110;113030;113060;112980;113000;110830;110850;110750;110760
108550;108630;108540;108620;116120;116270;116120;116240;113010;113040;112940;112970;110750;110840;110720;110830
108600;108640;108590;108610;116240;116270;116120;116120;112970;113010;112960;112990;110820;110870;110790;110860
108610;108640;108600;108610;116120;116190;116110;116180;113000;113070;112980;113030;110860;110940;110860;110890
108610;108620;108550;108570;116180;116230;116170;116220;113020;113120;113020;113060;110900;110930;110820;110900
108540;108570;108540;108550;116220;116320;116210;116290;113070;113180;113030;113140;110900;111160;110890;111140
108570;108580;108570;108580;116300;116320;116280;116310;113160;113200;113060;113090;111150;111170;110990;111000
108570;108600;108540;108540;116310;116340;116250;116260;113110;113110;113050;113060;111000;111010;110920;110950
108540;108570;108530;108570;116250;116270;116180;116200;113060;113080;113010;113030;110930;110980;110900;110970
108550;108630;108540;108630;116190;116250;116180;116200;113030;113050;112990;113000;110970;110970;110850;110850
108630;108650;108610;108650;116190;116190;116140;116160;113000;113030;112960;112980;110860;110870;110790;110820
108650;108670;108630;108650;116160;116220;116150;116160;112980;112990;112890;112900;110810;110830;110780;110820
108650;108670;108640;108660;116160;116230;116120;116180;112890;112940;112860;112900;110820;110830;110700;110730
108670;108680;108660;108670;116200;116200;116130;116160;112890;112890;112710;112730;110730;110780;110710;110760
108660;108660;108640;108650;116170;116180;116120;116150;112710;112760;112670;112750;110750;110840;110730;110800
108660;108680;108640;108650;116150;116160;116080;116080;112740;112800;112720;112730;110800;110850;110790;110820
108680;108680;108620;108640;116080;116110;115970;115990;112730;112800;112630;112780;110820;110950;110780;110940
108630;108690;108520;108630;116000;116070;115980;116060;112780;112950;112770;112940;110950;111020;110910;110960
108590;108600;108590;108600;116080;116150;116030;116150;112920;113020;112920;112990;110960;111110;110940;111110
108570;108600;108560;108570;116150;116230;116150;116200;112980;113000;112920;112970;111110;111130;111050;111120
108580;108590;108570;108570;116200;116290;116190;116270;112970;113010;112950;112960;111110;111150;111040;111080
108580;108580;108560;108570;116260;116290;116240;116270;112980;113030;112920;112970;111170;111270;111090;111100
108570;108590;108570;108590;116290;116320;116090;116280;113060;113100;112800;112940;111100;111150;111030;111080
108590;108590;108570;108570;116260;116290;116200;116280;112930;112990;112890;112980;111070;111150;111070;111150
108580;108580;108570;108570;116280;116360;116250;116310;112970;113230;112970;113230;111150;111250;111120;111160
108580;108580;108570;108570;116310;116360;116290;116300;113230;113290;113160;113160;111170;111230;111140;111200
108580;108590;108580;108580;116300;116350;116290;116310;113180;113180;113030;113050;111200;111240;111180;111200
108580;108580;108540;108570;116310;116330;116260;116270;113050;113080;113030;113040;111180;111240;111160;111230
108580;108580;108580;108580;116280;116330;116270;116280;113040;113040;112950;112990;111240;111260;111220;111250
108570;108590;108570;108590;116270;116310;116170;116260;113000;113000;112920;112930;111250;111270;111210;111230
108580;108590;108580;108590;116260;116380;116260;116380;112910;112920;112860;112880;111230;111280;111230;111240
108590;108590;108580;108590;116390;116480;116350;116450;112880;112910;112870;112870;111240;111390;111240;111360
108580;108580;108560;108560;116450;116540;116420;116440;112870;112890;112760;112890;111370;111400;111310;111310
108570;108570;108570;108570;116440;116470;116410;116440;112890;112930;112860;112880;111320;111320;111260;111260
108590;108590;108580;108580;116430;116460;116400;116460;112890;112940;112840;112840;111270;111280;111170;111210
108580;108580;108550;108550;116460;116460;116400;116400;112870;112890;112820;112820;111210;111260;111170;111250
108580;108600;108580;108600;116410;116420;116380;116400;112830;112920;112820;112900;111260;111350;111250;111250
108590;108590;108540;108560;116410;116460;116340;116380;112910;112970;112890;112950;111240;111310;111230;111230
108550;108550;108550;108550;116370;116380;116330;116330;112940;113030;112910;113010;111230;111300;111220;111250
108560;108560;108560;108560;116330;116340;116310;116330;113010;113130;113010;113130;111260;111280;111200;111200
108550;108560;108510;108510;116330;116350;116300;116320;113140;113190;113070;113170;111210;111210;111150;111150
108510;108530;108500;108530;116330;116340;116280;116320;113170;113220;113110;113110;111150;111230;111140;111160
108510;108510;108470;108480;116320;116360;116300;116300;113120;113130;113050;113060;111150;111230;111120;111130
108470;108470;108410;108420;116300;116330;116280;116330;113080;113080;113020;113050;111140;111170;111120;111130
108410;108410;108370;108390;116330;116350;116290;116310;113040;113090;113030;113070;111130;111130;111040;111090
108400;108430;108400;108430;116290;116310;116250;116270;113060;113070;113000;113030;111090;111130;110960;110980
108420;108420;108390;108390;116270;116280;116220;116250;113060;113110;113040;113110;110990;111020;110940;110980
108420;108450;108420;108450;116260;116280;116220;116230;113100;113150;113090;113110;110990;111030;110990;110990
108460;108470;108460;108470;116220;116230;116200;116220;113120;113130;113090;113110;110990;111020;110950;110970
108470;108480;108460;108480;116210;116220;116140;116160;113110;113120;113050;113090;110960;110990;110940;110940
108490;108490;108470;108470;116180;116190;116130;116180;113100;113170;113090;113170;110950;110980;110890;110980
108480;108490;108480;108490;116180;116190;116150;116150;113170;113270;113160;113240;110980;111010;110840;110870
108480;108520;108480;108520;116150;116150;116100;116100;113240;113410;113240;113300;110870;110880;110820;110840
108520;108520;108500;108500;116100;116120;116080;116100;113310;113340;113250;113310;110840;110880;110820;110840
108520;108530;108520;108530;116110;116110;116080;116100;113310;113390;113310;113320;110820;110870;110800;110810
108530;108540;108520;108520;116100;116140;116100;116110;113340;113350;113270;113280;110830;110860;110790;110840
108520;108530;108520;108530;116120;116120;116070;116080;113280;113320;113280;113320;110840;110840;110790;110800
108530;108540;108530;108530;116080;116240;116080;116240;113300;113360;113290;113320;110800;110840;110750;110780
108540;108540;108530;108530;116240;116240;116160;116160;113320;113490;113320;113440;110790;110850;110790;110810
108530;108530;108520;108530;116170;116180;116070;116080;113450;113490;113420;113430;110830;110850;110810;110850
108530;108590;108530;108590;116070;116070;116010;116030;113440;113530;113420;113530;110840;110840;110790;110800
108570;108580;108550;108550;116030;116040;115970;115970;113530;113550;113430;113440;110790;110820;110780;110780
108550;108550;108550;108550;115990;116060;115990;116020;113450;113480;113420;113420;110780;110820;110720;110800
108540;108540;108480;108480;116020;116030;116000;116000;113420;113450;113400;113420;110810;110850;110760;110830
108460;108460;108440;108440;116010;116010;115920;115930;113440;113470;113440;113450;110830;110830;110790;110830
108440;108480;108440;108480;115940;115950;115870;115870;113450;113460;113410;113420;110820;110820;110750;110780
108490;108490;108490;108490;115870;115910;115870;115890;113430;113450;113370;113380;110780;110800;110740;110790
