<OPEN>17/09;<HIGH>17/09;<LOW>17/09;<CLOSE>17/09;<OPEN> 17/11;<HIGH> 17/11;<LOW> 17/11;<CLOSE> 17/11;<OPEN> 15/12;<HIGH>15/12;<LOW> 15/12;<CLOSE> 15/12;<OPEN> 17/12;<HIGH> 17/12;<LOW> 17/12;<CLOSE> 17/12
107400;107400;107400;107400;116820;116820;116780;116820;112550;112640;112550;112580;111360;111410;111330;111340
107420;107420;107380;107420;116820;116880;116790;116830;112590;112600;112530;112550;111360;111380;111290;111330
107430;107450;107430;107450;116820;116880;116820;116830;112550;112640;112530;112600;111320;111370;111310;111350
107450;107450;107430;107430;116840;116940;116830;116930;112620;112630;112520;112580;111340;111370;111320;111350
107410;107420;107370;107390;116920;116950;116760;116780;112590;112650;112550;112550;111350;111360;111290;111310
107410;107430;107390;107390;116780;116810;116700;116790;112560;112670;112550;112640;111300;111370;111280;111360
107400;107460;107400;107430;116800;116800;116760;116760;112650;112760;112620;112740;111350;111360;111310;111350
107400;107440;107350;107440;116760;116820;116730;116730;112740;112780;112710;112720;111340;111450;111320;111430
107470;107500;107460;107500;116740;116760;116660;116670;112720;112780;112700;112760;111440;111520;111400;111490
107510;107590;107510;107560;116680;116680;116550;116580;112760;112890;112760;112870;111500;111540;111420;111420
107580;107580;107530;107560;116590;116600;116560;116580;112870;112890;112830;112850;111420;111430;111380;111380
107570;107570;107530;107560;116580;116620;116560;116610;112850;112880;112830;112860;111370;111430;111370;111430
107570;107640;107570;107630;116620;116650;116610;116640;112860;112910;112770;112880;111430;111450;111410;111430
107670;107670;107650;107670;116640;116660;116630;116640;112890;113070;112860;113040;111410;111460;111390;111420
107670;107670;107620;107620;116630;116750;116630;116740;113050;113090;113020;113080;111420;111440;111370;111440
107680;107680;107650;107650;116750;116810;116750;116780;113070;113110;113050;113100;111440;111440;111360;111390
107660;107660;107660;107660;116760;116780;116690;116720;113110;113140;113070;113130;111390;111400;111330;111330
107660;107660;107640;107650;116730;116740;116620;116660;113110;113200;113110;113130;111340;111400;111330;111400
107650;107650;107580;107580;116660;116760;116640;116750;113140;113140;113080;113120;111390;111600;111380;111570
107570;107570;107530;107550;116750;116850;116750;116810;113110;113110;113010;113040;111570;111580;111500;111540
107520;107550;107480;107550;116820;116820;116770;116800;113050;113120;113010;113090;111550;111550;111390;111450
107570;107630;107560;107630;116800;116840;116770;116790;113100;113130;112990;113030;111430;111470;111410;111460
107620;107690;107620;107620;116800;116810;116710;116750;113030;113060;112970;113010;111450;111470;111410;111430
107680;107680;107600;107610;116750;116780;116740;116750;113010;113050;113010;113020;111440;111450;111390;111440
107600;107600;107570;107570;116750;116800;116730;116780;113040;113050;113000;113000;111430;111440;111380;111380
107540;107590;107530;107570;116770;116780;116730;116750;113010;113040;112990;113000;111380;111400;111330;111380
107560;107640;107550;107580;116740;116780;116680;116680;112990;113010;112970;112980;111380;111420;111320;111410
107600;107620;107580;107620;116690;116730;116670;116710;112990;113020;112930;112990;111410;111420;111340;111380
107640;107640;107570;107570;116720;116740;116700;116710;113000;113040;112920;112940;111390;111450;111390;111400
107580;107620;107580;107620;116700;116750;116670;116720;112950;113090;112930;113040;111410;111420;111380;111400
107620;107640;107550;107610;116720;116740;116700;116700;113040;113060;113010;113060;111400;111430;111390;111430
107590;107620;107580;107620;116700;116760;116700;116760;113070;113160;113050;113150;111430;111470;111420;111440
107620;107630;107600;107600;116770;116770;116740;116740;113150;113150;113030;113030;111440;111470;111430;111470
107650;107660;107580;107580;116740;116760;116700;116710;113030;113070;112970;112980;111470;111500;111420;111450
107600;107650;107600;107650;116730;116760;116710;116720;112970;113030;112970;113010;111430;111490;111430;111450
107620;107620;107590;107590;116730;116730;116700;116720;113000;113020;113000;113010;111450;111490;111450;111470
107590;107610;107590;107610;116710;116810;116710;116800;113010;113060;112980;112990;111480;111500;111450;111500
107600;107640;107600;107630;116800;116920;116800;116880;112990;113010;112960;112990;111500;111530;111490;111510
107640;107640;107570;107580;116870;116890;116830;116870;112990;113010;112920;112970;111520;111520;111450;111470
107590;107590;107570;107580;116860;116880;116790;116800;112960;112970;112870;112880;111470;111500;111470;111500
107570;107570;107540;107560;116790;116810;116770;116770;112890;112970;112870;112920;111490;111530;111480;111510
107550;107590;107530;107540;116780;116800;116760;116760;112920;112970;112880;112920;111510;111540;111480;111520
107510;107560;107490;107530;116780;116790;116700;116710;112920;112980;112890;112900;111530;111550;111490;111530
107580;107580;107580;107580;116700;116720;116670;116690;112900;112930;112870;112890;111540;111570;111520;111550
107530;107530;107520;107520;116690;116690;116630;116680;112890;112940;112770;112780;111540;111570;111530;111560
107500;107530;107470;107530;116670;116700;116670;116690;112790;112840;112770;112820;111560;111700;111560;111610
107470;107470;107470;107470;116690;116740;116680;116740;112820;112850;112750;112770;111620;111670;111600;111610
107480;107500;107470;107490;116750;116750;116690;116690;112760;112830;112720;112800;111620;111640;111550;111560
107500;107560;107500;107550;116690;116700;116660;116660;112790;112840;112790;112820;111570;111590;111560;111570
107550;107550;107520;107520;116650;116680;116650;116680;112820;112870;112810;112830;111570;111600;111550;111590
107530;107530;107500;107500;116670;116680;116650;116670;112830;112860;112790;112790;111590;111610;111510;111600
107490;107490;107490;107490;116680;116710;116640;116640;112790;112800;112710;112780;111600;111700;111570;111660
107470;107480;107450;107460;116640;116680;116630;116640;112780;112800;112730;112780;111660;111800;111660;111730
107450;107450;107440;107440;116640;116650;116620;116630;112780;112790;112670;112690;111750;111880;111730;111840
107440;107470;107410;107470;116620;116640;116610;116620;112690;112690;112590;112640;111830;111850;111800;111840
107480;107500;107470;107470;116610;116660;116610;116650;112640;112650;112560;112600;111840;111850;111770;111790
107460;107460;107460;107460;116660;116680;116640;116670;112600;112640;112570;112570;111800;111850;111770;111790
107460;107470;107430;107430;116670;116690;116620;116680;112580;112650;112570;112640;111780;111800;111760;111770
107460;107500;107460;107500;116680;116700;116670;116690;112630;112670;112560;112580;111770;111790;111750;111770
107480;107480;107410;107410;116680;116700;116670;116700;112600;112630;112510;112550;111780;111790;111760;111780
107400;107400;107380;107380;116690;116700;116600;116600;112570;112590;112530;112580;111770;111850;111760;111820
107390;107390;107390;107390;116610;116620;116570;116610;112590;112650;112580;112640;111830;111830;111730;111770
107400;107410;107340;107410;116600;116620;116580;116580;112630;112630;112550;112570;111770;111860;111770;111840
107450;107460;107450;107460;116570;116630;116550;116610;112560;112620;112520;112610;111830;111830;111770;111790
107470;107540;107460;107540;116610;116630;116580;116610;112620;112680;112590;112630;111790;111830;111780;111790
107540;107540;107450;107450;116620;116630;116600;116620;112630;112690;112620;112620;111800;111830;111780;111800
107460;107500;107450;107450;116610;116620;116580;116590;112630;112650;112590;112590;111810;111830;111790;111790
107430;107430;107430;107430;116600;116630;116570;116600;112580;112740;112570;112730;111790;111790;111750;111790
107420;107520;107400;107520;116610;116610;116530;116580;112730;112890;112730;112800;111780;111840;111780;111840
107530;107560;107500;107540;116570;116590;116530;116580;112800;112950;112800;112940;111840;111860;111780;111820
107530;107560;107490;107520;116570;116580;116500;116510;112940;112940;112860;112890;111810;111820;111780;111780
107490;107540;107490;107510;116520;116600;116500;116550;112880;112910;112860;112890;111790;111830;111780;111820
107500;107500;107470;107470;116560;116560;116460;116470;112870;112990;112860;112980;111820;111860;111820;111860
107410;107410;107410;107410;116470;116560;116470;116550;112980;113000;112890;112910;111860;111940;111850;111900
107400;107420;107390;107420;116560;116570;116520;116530;112910;112960;112890;112950;111900;111910;111850;111850
107410;107410;107410;107410;116530;116580;116520;116550;112960;112990;112890;112970;111850;111920;111850;111870
107390;107390;107370;107390;116560;116590;116530;116580;112970;113000;112920;112930;111880;111900;111830;111840
107380;107420;107380;107420;116580;116620;116560;116610;112940;112970;112830;112860;111840;111870;111830;111840
107410;107410;107410;107410;116610;116660;116580;116630;112850;112870;112800;112830;111830;111850;111820;111820
107400;107410;107400;107410;116630;116700;116600;116610;112830;112900;112810;112870;111820;111840;111780;111780
107420;107420;107420;107420;116600;116640;116590;116590;112860;112870;112800;112850;111790;111830;111770;111820
107410;107470;107410;107470;116590;116620;116560;116580;112860;112860;112800;112800;111830;111850;111800;111820
107500;107510;107500;107510;116590;116590;116500;116510;112810;112840;112790;112810;111810;111810;111760;111800
107520;107560;107520;107550;116510;116520;116410;116460;112820;112840;112760;112760;111790;111810;111770;111780
107570;107650;107560;107600;116450;116500;116440;116480;112760;112810;112760;112770;111780;111820;111770;111810
107640;107670;107640;107670;116480;116510;116410;116430;112770;112830;112750;112810;111810;111840;111780;111820
107650;107650;107600;107600;116440;116450;116350;116400;112830;112830;112760;112790;111820;111900;111810;111880
107610;107610;107610;107610;116400;116480;116370;116410;112780;112800;112610;112670;111890;111920;111860;111860
107620;107630;107620;107630;116430;116450;116360;116360;112670;112740;112650;112720;111860;111910;111840;111870
107650;107650;107600;107610;116360;116440;116360;116430;112710;112730;112690;112710;111870;111870;111800;111850
107620;107640;107620;107640;116440;116460;116390;116390;112720;112750;112710;112710;111850;111860;111820;111830
107650;107660;107620;107620;116390;116450;116380;116420;112700;112710;112640;112670;111840;111870;111840;111860
107620;107620;107620;107620;116410;116410;116360;116390;112670;112700;112650;112670;111860;111920;111850;111870
107640;107650;107640;107650;116380;116450;116380;116450;112670;112700;112620;112660;111870;111880;111810;111830
107620;107630;107620;107630;116440;116460;116410;116440;112650;112670;112580;112610;111830;111840;111790;111820
107620;107620;107580;107610;116430;116450;116420;116420;112610;112630;112540;112620;111820;111830;111780;111800
107560;107560;107550;107550;116440;116440;116340;116350;112620;112730;112600;112710;111820;111830;111790;111790
107580;107580;107560;107560;116350;116380;116300;116370;112700;112720;112600;112600;111800;111800;111790;111800
107600;107600;107520;107520;116370;116380;116320;116330;112610;112640;112600;112620;111790;111840;111780;111820
107520;107570;107520;107530;116330;116380;116310;116360;112620;112620;112580;112600;111820;111830;111780;111790
107530;107580;107530;107530;116360;116370;116330;116340;112600;112680;112600;112670;111800;111810;111770;111780
107550;107640;107550;107640;116350;116410;116330;116400;112670;112680;112610;112650;111780;111830;111770;111810
107640;107770;107620;107770;116400;116430;116370;116380;112630;112640;112560;112590;111810;111850;111810;111830
107760;107810;107730;107750;116370;116370;116310;116310;112590;112600;112550;112560;111820;111840;111780;111840
107740;107750;107670;107680;116310;116350;116270;116310;112560;112630;112550;112580;111830;111840;111810;111830
107680;107690;107660;107690;116310;116310;116240;116260;112570;112580;112500;112580;111840;111850;111810;111840
107650;107660;107650;107660;116260;116300;116250;116270;112560;112560;112390;112460;111840;111870;111820;111860
107690;107780;107690;107770;116270;116300;116260;116300;112450;112490;112410;112450;111860;111900;111830;111830
107800;107820;107720;107740;116300;116330;116250;116260;112470;112480;112370;112420;111820;111840;111800;111840
107750;107790;107730;107760;116260;116310;116240;116290;112410;112420;112360;112380;111830;111830;111810;111820
107740;107740;107700;107720;116280;116290;116230;116280;112380;112380;112260;112280;111810;111830;111810;111810
107730;107800;107720;107730;116270;116310;116260;116310;112270;112310;112230;112290;111820;111830;111820;111820
